population,drug,day,state,estimate,lower,upper
routine_culture_no_recorded_lmwh_shared,vancomycin,7.5,recovery,0.226691828362131,0.184245640256122,0.277920890470598
routine_culture_no_recorded_lmwh_shared,vancomycin,7.5,death,0.233440798894276,0.189578401122673,0.275109584809071
routine_culture_no_recorded_lmwh_shared,vancomycin,7.5,discharge,0.113126704277611,0.0881776850341868,0.139916568039421
routine_culture_no_recorded_lmwh_shared,vancomycin,7.5,no_first_event,0.426740668465982,0.377182282888304,0.474177440477334
routine_culture_no_recorded_lmwh_shared,vancomycin,7.75,recovery,0.239284447515953,0.195038809393458,0.295730757424944
routine_culture_no_recorded_lmwh_shared,vancomycin,7.75,death,0.235505634398059,0.191684028109204,0.277195186786731
routine_culture_no_recorded_lmwh_shared,vancomycin,7.75,discharge,0.113715069344541,0.0888816244195342,0.140448372612894
routine_culture_no_recorded_lmwh_shared,vancomycin,7.75,no_first_event,0.411494848741446,0.360123748183103,0.460392597662461
routine_culture_no_recorded_lmwh_shared,vancomycin,8,recovery,0.248756595381826,0.205681239004736,0.305058397218562
routine_culture_no_recorded_lmwh_shared,vancomycin,8,death,0.238584749358517,0.194043732784074,0.280394967943602
routine_culture_no_recorded_lmwh_shared,vancomycin,8,discharge,0.116332626709018,0.0917882058641144,0.143662556368223
routine_culture_no_recorded_lmwh_shared,vancomycin,8,no_first_event,0.396326028550639,0.345285587160022,0.44445513354035
routine_culture_no_recorded_lmwh_shared,vancomycin,8.25,recovery,0.253362634266527,0.210248255021506,0.310052426873229
routine_culture_no_recorded_lmwh_shared,vancomycin,8.25,death,0.23966000110118,0.194960097002979,0.281681380425473
routine_culture_no_recorded_lmwh_shared,vancomycin,8.25,discharge,0.11813350367143,0.0934642751573786,0.145345604971932
routine_culture_no_recorded_lmwh_shared,vancomycin,8.25,no_first_event,0.388843860960863,0.337579036852839,0.436658568124301
routine_culture_no_recorded_lmwh_shared,vancomycin,8.5,recovery,0.255179458541302,0.211687153441317,0.312874905123468
routine_culture_no_recorded_lmwh_shared,vancomycin,8.5,death,0.240790165079027,0.196522800981917,0.282775181764258
routine_culture_no_recorded_lmwh_shared,vancomycin,8.5,discharge,0.121127129856932,0.0963505103945343,0.14819280713255
