population,metric,LZD,VAN,RD,lower,upper,LZD_lower,LZD_upper,VAN_lower,VAN_upper,valid_draws,diagnostic_gate
routine_culture_no_recorded_lmwh_shared,icu_dated__death,0.249481652704755,0.223497873385139,0.0259837793196165,-0.0706802939103676,0.126125189494582,0.150808774064935,0.353101837509128,0.179255302021772,0.265959417700803,2000,TRUE
routine_culture_no_recorded_lmwh_shared,icu_dated__live_exit,0.540251686635792,0.58480492981438,-0.0445532431785876,-0.141835216608628,0.0617682002239252,0.432255443599107,0.653186563827831,0.530332199160448,0.63743391374059,2000,TRUE
routine_culture_no_recorded_lmwh_shared,CIF_area_days,2.02500004211937,2.59981902727858,-0.574818985159211,-1.46463688698533,0.185294171960189,1.06273464672043,2.93714648456205,2.17047421591215,3.14979947636562,2000,TRUE
routine_culture_no_recorded_lmwh_shared,never_threshold,0.591154194995754,0.534470080686505,0.0566841143092489,-0.0396627649841585,0.165492985826246,0.487376168058016,0.703531152781603,0.473693254577046,0.588848848124627,2000,TRUE
routine_culture_no_recorded_lmwh_shared,unconfirmed_observed_low,0.135250956426224,0.0833557640153759,0.0518951924108484,-0.0263205988140141,0.140857282425372,0.0554184156131794,0.218702945167585,0.0579273967364569,0.106838675208604,2000,TRUE
routine_culture_no_recorded_lmwh_shared,unconfirmed_insufficient_clock,0.0315505253535344,0.0362693326103775,-0.00471880725684302,-0.040420794891411,0.0453831818648354,0,0.0799129364855077,0.0228799344881444,0.0533257866646002,2000,TRUE
routine_culture_no_recorded_lmwh_shared,unconfirmed_no_late_measurement,0.0298880506275173,0.0245825498393551,0.00530550078816221,-0.0288019338560361,0.052742577500152,0,0.0753543563380814,0.0143348543807471,0.0377002898656098,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_tests,14.4881535523296,15.0695189592149,-0.581365406885274,-3.1391643613014,2.05576026432912,11.9025081242604,17.1720943305005,13.9845739247859,16.1535576577137,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_days,8.67520188166615,9.03730075285223,-0.362098871186074,-1.65861342191727,0.886142267352761,7.4032926758882,9.90727314643275,8.62559945451624,9.44766587013252,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_mean_person_tests_per_day,2.00670359990381,1.78513223425703,0.22157136564678,-0.066911219191688,0.497308103515565,1.71214697041012,2.3094244885846,1.65282278119883,1.91974735168873,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical_tests,9.36360024585994,9.86191786238113,-0.49831761652119,-2.63165180070815,1.97877243900035,7.07139216510139,11.8328063124915,8.71365657698366,10.9773543203834,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical_days,4.59478733003815,4.84738686950101,-0.252599539462862,-1.23910475914374,0.791204292739714,3.60904419218452,5.65877045465103,4.44364350414045,5.26186324652352,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical_mean_person_tests_per_day,2.24019924105368,2.02997999169954,0.210219249354145,-0.096518409139198,0.526583856288497,1.91181499422727,2.56773641806004,1.87747711169059,2.17308414151883,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_pooled_tests_per_day,1.6700652906935,1.66748007744003,0.00258521325347183,-0.1759280783091,0.186417305040407,1.47319692615723,1.86927863506787,1.57035003298411,1.75504292534565,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical_pooled_tests_per_day,2.03787456813202,2.03448128401526,0.00339328411675321,-0.281748312222525,0.306229959253885,1.73907009490311,2.33578411584121,1.8966118703703,2.1596105747262,2000,TRUE
routine_bacterial_culture72h_shared,hospital__recovery,0.212155677861378,0.32271583227525,-0.110560154413873,-0.196698813552744,-0.0342761828295242,0.121015371003061,0.303899884518744,0.276996550094054,0.378565686321189,2000,TRUE
routine_bacterial_culture72h_shared,hospital__death,0.265058126801393,0.287578207887161,-0.0225200810857681,-0.123576292229047,0.0811607877884727,0.166671087098766,0.371079939102307,0.239929691815357,0.335677945846589,2000,TRUE
routine_bacterial_culture72h_shared,hospital__live_exit,0.252163421036402,0.186327800868152,0.0658356201682504,-0.0297388349714041,0.168047709004719,0.159422148072723,0.351026686417475,0.152972953246857,0.220470413632762,2000,TRUE
routine_bacterial_culture72h_shared,hospital_single__recovery,0.40885151621231,0.467213505891226,-0.0583619896789159,-0.165610709857965,0.0493342963443869,0.298899902062561,0.521317753626815,0.407909200351017,0.52775886976887,2000,TRUE
routine_bacterial_culture72h_shared,hospital_single__death,0.202511002297337,0.244639218459646,-0.0421282161623085,-0.13001223578678,0.053379977203011,0.113040572906957,0.295848012492036,0.201436228852924,0.291890333175751,2000,TRUE
routine_bacterial_culture72h_shared,hospital_single__live_exit,0.203571788017698,0.141469802929113,0.0621019850885848,-0.0248624762693972,0.157746990314115,0.118436710453977,0.295348348316156,0.114394917075654,0.172166166124757,2000,TRUE
routine_bacterial_culture72h_shared,hospital72__recovery,0.212155677861378,0.321267168424444,-0.109111490563067,-0.19432960106503,-0.0322171506445894,0.121015371003061,0.303899884518744,0.275379583197263,0.376760744657865,2000,TRUE
